timestamp,open,high,low,close,volume
1672531200,16547.5,16557.0,16523.0,16530.0,200.5
1672534800,16530.0,16540.0,16510.0,16525.0,150.0
1672538400,16525.0,16535.0,16520.0,16532.0,180.0
1672542000,16532.0,16550.0,16530.0,16545.0,210.0
1672545600,16545.0,16560.0,16540.0,16555.0,250.0
1672549200,16555.0,16555.0,16500.0,16510.0,300.0
1672552800,16510.0,16520.0,16480.0,16490.0,190.0
1672556400,16490.0,16500.0,16490.0,16495.0,120.0
1672560000,16495.0,16510.0,16490.0,16505.0,140.0
1672563600,16505.0,16525.0,16500.0,16520.0,160.0
